record_id,generic_name,therapeutic_category,shortage_status,mapped_surveillance_network,seasonal_amplification_factor,supply_risk_multiplier,avg_weekly_demand,demand_std,lead_time_weeks,lead_time_std_weeks,service_level,z_score,base_safety_stock,base_reorder_point,volatility_adjusted_safety_stock,volatility_adjusted_reorder_point,composite_risk_score
36000-284-25,Furosemide Injection,Cardiovascular,Current,,1.0,1.8,1.0,0.0,2.0,0.5,0.95,1.6449,0.8,2.8,1.5,4.1,51.5
0409-4282-01,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,1.0,0.0,2.0,0.5,0.95,1.6449,0.8,2.8,1.5,4.1,51.5
0409-2634-05,Hydromorphone Hydrochloride Injection,Analgesia/Addiction,Current,,1.0,1.8,39.58,0.0,2.0,0.5,0.95,1.6449,32.6,111.7,58.6,161.5,51.5
0143-9595-25,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,20.46,0.0,2.0,0.5,0.95,1.6449,16.8,57.7,30.3,83.5,51.5
63323-201-10,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,0.14,0.0,2.0,0.5,0.95,1.6449,0.1,0.4,0.2,0.6,51.5
43547-406-10,Clonazepam Tablet,Neurology,Current,,1.0,1.8,8.58,0.0,2.0,0.5,0.95,1.6449,7.1,24.2,12.7,35.0,51.5
63323-454-01,Morphine Sulfate Injection,Analgesia/Addiction,Current,,1.0,1.8,1.0,0.0,2.0,0.5,0.95,1.6449,0.8,2.8,1.5,4.1,51.5
63323-516-10,Dexamethasone Sodium Phosphate Injection,Dermatology,Current,,1.0,1.8,1.2,0.0,2.0,0.5,0.95,1.6449,1.0,3.4,1.8,4.9,51.5
67457-228-10,Rocuronium Bromide Injection,Anesthesia,Current,,1.0,1.8,1.3,0.0,2.0,0.5,0.95,1.6449,1.1,3.7,1.9,5.3,51.5
0641-6030-01,Fentanyl Citrate Injection,Analgesia/Addiction,Current,,1.0,1.8,60.42,0.0,2.0,0.5,0.95,1.6449,49.7,170.5,89.4,246.5,51.5
0703-4248-01,Carboplatin Injection,Oncology,Current,,1.0,1.8,72.5,0.0,2.0,0.5,0.95,1.6449,59.6,204.6,107.3,295.8,51.5
0641-6007-10,Bumetanide Injection,Cardiovascular,Current,,1.0,1.8,5.6,0.0,2.0,0.5,0.95,1.6449,4.6,15.8,8.3,22.9,51.5
0409-9094-22,Fentanyl Citrate Injection,Analgesia/Addiction,Current,,1.0,1.8,1.0,0.0,2.0,0.5,0.95,1.6449,0.8,2.8,1.5,4.1,51.5
67457-423-12,Dexamethasone Sodium Phosphate Injection,Dermatology,Current,,1.0,1.8,2.0,0.0,2.0,0.5,0.95,1.6449,1.6,5.6,3.0,8.2,51.5
63323-492-57,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,2.25,0.0,2.0,0.5,0.95,1.6449,1.9,6.4,3.3,9.2,51.5
63323-089-50,Sodium Bicarbonate Injection,Endocrinology/Metabolism,Current,,1.0,1.8,718.75,0.0,2.0,0.5,0.95,1.6449,591.1,2028.6,1064.0,2932.8,51.5
0409-4275-01,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,0.02,0.0,2.0,0.5,0.95,1.6449,0.0,0.1,0.0,0.1,51.5
0338-0431-03,Heparin Sodium Injection,Hematology,Current,,1.0,1.8,3.08,0.0,2.0,0.5,0.95,1.6449,2.5,8.7,4.6,12.6,51.5
0338-0017-11,Dextrose Monohydrate 5% Injection,Endocrinology/Metabolism,Current,,1.0,1.8,130.21,33.88,2.0,0.5,0.95,1.6449,133.0,393.4,212.7,551.2,46.5
50242-085-27,Alteplase Injection,Cardiovascular,To Be Discontinued,,1.0,2.2,0.0,0.0,2.0,0.5,0.95,1.6449,0.0,0.0,0.0,0.0,45.0
16729-239-93,Dexmedetomidine Hydrochloride Injection,Anesthesia,To Be Discontinued,,1.0,2.2,0.0,0.0,2.0,0.5,0.95,1.6449,0.0,0.0,0.0,0.0,45.0
0409-3793-01,Ketorolac Tromethamine Injection,Analgesia/Addiction,Current,,1.0,1.8,3.3,1.07,2.0,0.5,0.95,1.6449,3.7,10.3,5.6,14.2,44.9
0409-1176-30,Meperidine Hydrochloride Injection,Analgesia/Addiction,Current,,1.0,1.8,0.67,0.29,2.0,0.5,0.95,1.6449,0.9,2.2,1.3,3.0,42.5
0409-4277-01,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,0.93,0.5,2.0,0.5,0.95,1.6449,1.4,3.3,1.9,4.3,40.8
0641-0928-25,Promethazine Hydrochloride Injection,Analgesia/Addiction,Current,,1.0,1.8,0.74,0.42,2.0,0.5,0.95,1.6449,1.2,2.6,1.6,3.5,40.4
0338-1073-02,Dobutamine Hydrochloride Injection,Cardiovascular,Current,,1.0,1.8,3.44,2.05,2.0,0.5,0.95,1.6449,5.5,12.4,7.4,16.4,40.1
0641-0367-25,Dexamethasone Sodium Phosphate Injection,Dermatology,Current,,1.0,1.8,7.65,4.58,2.0,0.5,0.95,1.6449,12.4,27.7,16.6,36.5,40.1
0409-4911-34,Atropine Sulfate Injection,Anesthesia,Current,,1.0,1.8,1.0,0.61,2.0,0.5,0.95,1.6449,1.6,3.6,2.2,4.8,39.9
0409-2305-17,Midazolam Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,1.03,0.63,2.0,0.5,0.95,1.6449,1.7,3.8,2.3,4.9,39.9
0338-1007-02,Dopamine Hydrochloride Injection,Cardiovascular,Current,,1.0,1.8,1.8,1.12,2.0,0.5,0.95,1.6449,3.0,6.6,4.0,8.7,39.8
0264-7510-10,Dextrose Monohydrate 5% Injection,Endocrinology/Metabolism,Current,,1.0,1.8,1458.5,953.85,2.0,0.5,0.95,1.6449,2522.3,5439.3,3325.9,7118.0,39.5
61703-408-41,Methotrexate Sodium Injection,Oncology,Current,,1.0,1.8,0.8,0.57,2.0,0.5,0.95,1.6449,1.5,3.1,1.9,4.0,38.9
0409-7517-16,Dextrose Monohydrate 50% Injection,Endocrinology/Metabolism,Current,,1.0,1.8,3.32,2.43,2.0,0.5,0.95,1.6449,6.3,12.9,8.1,16.7,38.8
0409-4713-02,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,2.1,1.56,2.0,0.5,0.95,1.6449,4.0,8.2,5.2,10.6,38.7
0409-6102-02,Furosemide Injection,Cardiovascular,Current,,1.0,1.8,3.63,2.75,2.0,0.5,0.95,1.6449,7.1,14.3,9.1,18.5,38.6
36000-282-25,Furosemide Injection,Cardiovascular,Current,,1.0,1.8,3.14,2.53,2.0,0.5,0.95,1.6449,6.4,12.7,8.2,16.3,38.3
0641-6125-25,Morphine Sulfate Injection,Analgesia/Addiction,Current,,1.0,1.8,1.56,1.24,2.0,0.5,0.95,1.6449,3.2,6.3,4.0,8.1,38.3
0409-1283-31,Hydromorphone Hydrochloride Injection,Analgesia/Addiction,Current,,1.0,1.8,2.02,1.64,2.0,0.5,0.95,1.6449,4.2,8.2,5.3,10.5,38.2
0338-0017-10,Dextrose Monohydrate 5% Injection,Endocrinology/Metabolism,Current,,1.0,1.8,60.0,48.73,2.0,0.5,0.95,1.6449,123.6,243.6,156.8,312.8,38.2
63323-485-27,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,0.06,0.05,2.0,0.5,0.95,1.6449,0.1,0.2,0.2,0.3,38.1
0409-1890-01,Morphine Sulfate Injection,Analgesia/Addiction,Current,,1.0,1.8,2.41,2.0,2.0,0.5,0.95,1.6449,5.1,9.9,6.4,12.7,38.1
63323-161-01,Ketorolac Tromethamine Injection,Analgesia/Addiction,Current,,1.0,1.8,4.78,4.01,2.0,0.5,0.95,1.6449,10.1,19.7,12.8,25.2,38.0
0338-0017-31,Dextrose Monohydrate 5% Injection,Endocrinology/Metabolism,Current,,1.0,1.8,166.08,141.85,2.0,0.5,0.95,1.6449,357.1,689.3,449.4,881.2,38.0
0338-0017-02,Dextrose Monohydrate 5% Injection,Endocrinology/Metabolism,Current,,1.0,1.8,1124.77,959.25,2.0,0.5,0.95,1.6449,2415.5,4665.1,3040.6,5965.0,38.0
0338-0017-38,Dextrose Monohydrate 5% Injection,Endocrinology/Metabolism,Current,,1.0,1.8,313.89,282.35,2.0,0.5,0.95,1.6449,705.7,1333.5,881.3,1697.4,37.7
0409-6102-04,Furosemide Injection,Cardiovascular,Current,,1.0,1.8,4.17,3.87,2.0,0.5,0.95,1.6449,9.6,18.0,12.0,22.8,37.6
0409-6102-10,Furosemide Injection,Cardiovascular,Current,,1.0,1.8,42.92,40.15,2.0,0.5,0.95,1.6449,99.8,185.7,124.0,235.6,37.5
63323-165-01,Dexamethasone Sodium Phosphate Injection,Dermatology,Current,,1.0,1.8,12.54,12.17,2.0,0.5,0.95,1.6449,30.1,55.2,37.2,69.8,37.4
0338-0017-03,Dextrose Monohydrate 5% Injection,Endocrinology/Metabolism,Current,,1.0,1.8,1844.25,1924.27,2.0,0.5,0.95,1.6449,4726.2,8414.7,5788.0,10583.1,37.1
36000-283-25,Furosemide Injection,Cardiovascular,Current,,1.0,1.8,8.28,10.59,2.0,0.5,0.95,1.6449,25.6,42.1,30.6,52.2,36.5
0409-3795-01,Ketorolac Tromethamine Injection,Analgesia/Addiction,Current,,1.0,1.8,2.47,3.21,2.0,0.5,0.95,1.6449,7.7,12.7,9.3,15.7,36.4
0409-4713-32,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,4.77,6.34,2.0,0.5,0.95,1.6449,15.3,24.8,18.2,30.6,36.4
0409-4276-01,Lidocaine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,1.08,1.47,2.0,0.5,0.95,1.6449,3.5,5.7,4.2,7.0,36.3
0409-1312-30,Hydromorphone Hydrochloride Injection,Analgesia/Addiction,Current,,1.0,1.8,2.54,3.59,2.0,0.5,0.95,1.6449,8.6,13.7,10.2,16.8,36.2
0409-1985-30,Lorazepam Injection,Neurology,Current,,1.0,1.8,6.88,16.34,2.0,0.5,0.95,1.6449,38.4,52.2,44.5,62.4,35.5
0409-1178-30,Meperidine Hydrochloride Injection,Analgesia/Addiction,Current,,1.0,1.8,4.25,9.31,2.0,0.5,0.95,1.6449,21.9,30.4,25.5,36.5,35.5
0409-1638-02,Dexmedetomidine Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,0.86,2.27,2.0,0.5,0.95,1.6449,5.3,7.0,6.2,8.4,35.4
0641-6060-10,Midazolam Hydrochloride Injection,Anesthesia,Current,,1.0,1.8,0.0,0.0,2.0,0.5,0.95,1.6449,0.0,0.0,0.0,0.0,31.5
0009-0011-04,Hydrocortisone Sodium Succinate Injection,Dermatology,Resolved,,1.0,1.0,0.7,0.42,2.0,0.5,0.95,1.6449,1.1,2.5,1.1,2.5,9.0
0009-0011-03,Hydrocortisone Sodium Succinate Injection,Dermatology,Resolved,,1.0,1.0,7.07,3.31,2.0,0.5,0.95,1.6449,9.6,23.8,9.6,23.8,9.0
